X;Y;Type
2.7364;36.4324;Green zones
3.212;36.611;Green zones
2.827589;36.533024;Green zones
2.9873;36.5774;Green zones
3.1738;36.5854;Green zones
3.213064;36.594824;Red zones
3.160037;36.550524;Green zones
2.953098;36.532246;Green zones
2.90917;36.53148;Green zones
2.637418;36.453766;Green zones
2.7366;36.4608;Green zones
2.6952;36.4637;Green zones
3.0075;36.4929;Green zones
2.8791;36.5281;Green zones
3.220428;36.604912;Green zones
3.200112;36.646989;Green zones
2.873626;36.500526;Green zones
2.83932;36.5885;Green zones
2.810745;36.487695;Green zones
3.156743;36.573748;Green zones
2.9782311;36.518334;Orange zones
2.8418;36.4662;Green zones
2.8565;36.4812;Green zones
2.988;36.5351;Green zones
2.6239;36.466;Green zones
2.9206;36.5474;Green zones
2.8155;36.5394;Green zones
2.818305;36.481424;Green zones
2.834296;36.478203;Green zones
2.989662;36.584744;Green zones
3.0534;36.6;Orange zones
2.854691;36.499209;Green zones
2.83687;36.48773;Green zones
3.00509;36.52201;Green zones
3.163617;36.56384;Green zones
2.8129;36.4662;Green zones
2.812155;36.514348;Green zones
3.094875;36.544909;Green zones
2.807919;36.528307;Green zones
2.82338;36.5195;Green zones
2.825244;36.497019;Green zones
2.857889;36.429528;Orange zones
2.9163725;36.589005;Green zones
2.784812;36.502273;Green zones
2.77589;36.47471;Orange zones
2.70851;36.44732;Green zones
2.657486;36.451505;Orange zones
2.68539;36.46519;Green zones
3.223877;36.625694;Green zones
3.170025;36.584198;Green zones
3.004698;36.529868;Green zones
3.208983;36.600879;Green zones
3.216768;36.588871;Green zones
2.856624;36.589737;Green zones
2.600925;36.504771;Green zones
2.853358;36.484022;Green zones
2.99741;36.503584;Green zones
2.6318;36.45;Green zones
2.871648;36.615905;Green zones
2.825755;36.536031;Green zones
2.9148;36.490255;Green zones
3.187074;36.57853;Green zones
3.110328;36.538483;Green zones
2.7129;36.4179;Green zones
2.6945;36.4264;Green zones
3.082756;36.577635;Green zones
2.920128;36.53868;Green zones
2.951606;36.603052;Green zones
3.197246;36.640257;Green zones
2.581744;36.440564;Green zones
3.0064;36.5744;Green zones
2.785956;36.561678;Green zones
2.91448;36.51886;Green zones
3.1713;36.5476;Green zones
3.1064;36.5634;Green zones
3.278214;36.631063;Green zones
2.9193;36.5271;Green zones
2.8761;36.6297;Green zones
2.635546;36.461882;Green zones
3.24381;36.64261;Green zones
2.806936;36.456933;Orange zones
3.2013;36.581266;Green zones
3.13523;36.601878;Green zones
2.852138;36.453409;Green zones
2.6331;36.4508;Green zones
2.631241;36.452406;Green zones
2.8307;36.4864;Green zones
2.8821;36.5;Green zones
2.8728;36.5032;Green zones
2.671833;36.49723;Green zones
2.797336;36.5762;Green zones
3.88577;36.3724;Red zones
3.89588;36.3733;Green zones
3.58792;36.5647;Green zones
3.59528;36.5645;Green zones
3.90108;36.3977;Green zones
3.8432;36.3663;Green zones
3.5985055;36.563293;Green zones
3.90993;36.3707;Green zones
3.90292;36.3679;Green zones
3.89977;36.3782;Green zones
3.89207;36.3802;Green zones
3.8845;36.3772;Green zones
3.60242;36.5372;Red zones
3.71535;36.4909;Green zones
3.69842;36.1395;Orange zones
3.76071;36.4784;Orange zones
3.67916;36.2981;Green zones
3.90745;36.4598;Red zones
4.2682;36.3622;Green zones
3.67736;36.5377;Green zones
3.59551;36.566;Green zones
3.52195;36.5727;Green zones
3.4281;36.4334;Green zones
3.58385;36.2635;Green zones
3.99776;36.3974;Green zones
4.00788;36.3237;Green zones
4.06708;36.0795;Green zones
4.04278;36.2547;Green zones
3.75409;35.9984;Green zones
3.8186;36.2175;Green zones
4.32053;36.3619;Green zones
4.34536;36.422;Green zones
3.89166;36.2731;Green zones
3.88202;36.4271;Green zones
3.58253;36.5664;Orange zones
4.25758;36.3299;Green zones
4.15468;36.3289;Green zones
4.06656;36.3134;Orange zones
4.12765;36.4482;Green zones
3.68766;36.1436;Green zones
3.67378;36.2937;Green zones
3.89529;36.3726;Green zones
4.30314;36.3286;Green zones
3.83458;36.4743;Green zones
3.66875;36.5406;Green zones
3.59834;36.561;Green zones
3.75337;36.1823;Green zones
3.62412;36.3867;Green zones
3.64629;36.2354;Green zones
3.5756;36.1302;Green zones
4.24662;36.3892;Green zones
4.10935;36.2109;Green zones
3.9788;36.082;Green zones
3.98613;36.0199;Green zones
3.80707;36.3401;Green zones
3.692;36.15;Green zones
4.2885;36.3531;Green zones
4.31617;36.3298;Green zones
4.18596;36.339;Green zones
3.99603;36.411;Green zones
3.76977;36.4952;Green zones
3.68277;36.5318;Green zones
3.67634;36.2883;Green zones
3.81253;36.2175;Green zones
4.04522;36.3087;Green zones
4.32851;36.3612;Green zones
3.58857;36.26174;Green zones
3.60052;36.3141;Green zones
3.8508;35.9599;Green zones
3.54871;36.0323;Green zones
3.45774;36.0724;Green zones
3.9203;36.2908;Green zones
3.74925;36.3212;Green zones
3.60788;36.4199;Green zones
3.81914;36.3912;Green zones
3.57083;36.4935;Green zones
3.51662;36.4897;Green zones
3.3846;36.5542;Green zones
3.59828;36.57478;Orange zones
4.1565;36.3512;Green zones
3.77013;36.094;Green zones
3.89188;36.3758;Orange zones
3.90488;36.375;Green zones
3.56726;36.6005;Orange zones
3.90219;36.4437;Green zones
3.58895;36.5661;Green zones
4.3668;36.2783;Green zones
3.74698;36.0789;Green zones
3.88424;36.3844;Green zones
3.77356;36.4533;Orange zones
3.9364;36.3381;Green zones
4.15777;36.3167;Green zones
4.22508;36.2762;Green zones
4.3106;36.4151;Green zones
3.7233;36.172;Green zones
3.829;36.2609;Green zones
4.3662;36.4175;Green zones
3.69562;36.1476;Green zones
3.8997;36.3834;Green zones
3.73303;36.4674;Green zones
3.58941;36.5621;Green zones
3.95872;36.4067;Green zones
3.87977;36.382;Green zones
4.11919;36.3571;Green zones
4.2123;36.4104;Green zones
4.04201;36.248;Green zones
3.67958;36.2939;Green zones
3.68766;36.1593;Green zones
3.66791;36.2978;Green zones
3.76926;36.4917;Green zones
3.877;36.3703;Green zones
3.90104;36.39;Green zones
3.64116;36.5582;Green zones
3.67438;36.5355;Green zones
3.68258;36.1454;Green zones
3.68976;36.1473;Green zones
